Site,Lat,Lon
Aðalstræti 10,64.147857,-21.942111
Aðalstræti 12,64.147622,-21.942153
Akurvik,65.996198,-21.317166
Akurvik,65.996198,-21.317166
Eyri,66.076097,-23.125647
Finnbogastaðir,66.010687,-21.493322
Gásir,65.784437,-18.165026
Gjögur,65.987465,-21.35187
Gjögur,65.987465,-21.35187
Granastaðir,65.288508,-18.24541
Gufuskálar,64.90154,-23.943498
Hofstaðir,65.608531,-17.162026
Hornbrekka,65.933276,-19.393224
Hrísheimar,65.531231,-17.096515
Miðbær,65.374914,-22.914721
Miðbær,65.374914,-22.914721
Möðruvellir,65.770281,-18.250071
Möðruvellir,65.770281,-18.250071
Möðruvellir,65.770281,-18.250071
Oddstaðir,65.676768,-18.484702
Oddstaðir,65.676768,-18.484702
Oddstaðir,65.676768,-18.484702
Oddstaðir,65.676768,-18.484702
Siglunes,66.19653,-18.857121
Siglunes,66.19653,-18.857121
Skálholt,64.124917,-20.52549
Skuggi,65.662548,-18.480108
Skuggi,65.662548,-18.480108
Skuggi,65.662548,-18.480108
Skuggi,65.662548,-18.480108
Skútustaðir,65.56564,-17.027377
Skútustaðir,65.56564,-17.027377
Skútustaðir,65.56564,-17.027377
Tjarnagata,64.146382,-21.943688
